concept_name,table_name,field_name,concept_with_context
Waves3+4,patient,cohort,patient_cohort_Waves3+4
Waves1+2,patient,cohort,patient_cohort_Waves1+2
Both,patient,cohort,patient_cohort_Both
Male,patient,gender,patient_gender_Male
Female,patient,gender,patient_gender_Female
White,patient,self_reported_race,patient_self_reported_race_White
Unknown,patient,self_reported_race,patient_self_reported_race_Unknown
Asian,patient,self_reported_race,patient_self_reported_race_Asian
Black,patient,self_reported_race,patient_self_reported_race_Black
PacificIslander,patient,self_reported_race,patient_self_reported_race_PacificIslander
Multiracial,patient,self_reported_race,patient_self_reported_race_Multiracial
AmericanIndian,patient,self_reported_race,patient_self_reported_race_AmericanIndian
Declined,patient,self_reported_race,patient_self_reported_race_Declined
NON-HISPANIC,patient,self_reported_ethnicity,patient_self_reported_ethnicity_NON-HISPANIC
UNKNOWN,patient,self_reported_ethnicity,patient_self_reported_ethnicity_UNKNOWN
HISPANIC,patient,self_reported_ethnicity,patient_self_reported_ethnicity_HISPANIC
DECLINED,patient,self_reported_ethnicity,patient_self_reported_ethnicity_DECLINED
Prostate Cancer,patient,prior_malignancy,patient_prior_malignancy_Prostate Cancer
Endometrial cancer|Lobular carcinoma in situ,patient,prior_malignancy,patient_prior_malignancy_Endometrial cancer|Lobular carcinoma in situ
Breast Cancer,patient,prior_malignancy,patient_prior_malignancy_Breast Cancer
Squamous cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Squamous cell carcinoma
Hodgkin Lymphoma,patient,prior_malignancy,patient_prior_malignancy_Hodgkin Lymphoma
Ovarian cancer,patient,prior_malignancy,patient_prior_malignancy_Ovarian cancer
Esophageal Cancer,patient,prior_malignancy,patient_prior_malignancy_Esophageal Cancer
Basal Cell Carcinoma,patient,prior_malignancy,patient_prior_malignancy_Basal Cell Carcinoma
Uterine Sarcoma,patient,prior_malignancy,patient_prior_malignancy_Uterine Sarcoma
Non-Hodgkins Lymphoma,patient,prior_malignancy,patient_prior_malignancy_Non-Hodgkins Lymphoma
Melanoma,patient,prior_malignancy,patient_prior_malignancy_Melanoma
Lung Cancer,patient,prior_malignancy,patient_prior_malignancy_Lung Cancer
Skin cancer,patient,prior_malignancy,patient_prior_malignancy_Skin cancer
Squamous cell carcinoma|Renal cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Squamous cell carcinoma|Renal cell carcinoma
Adenocarcinoma,patient,prior_malignancy,patient_prior_malignancy_Adenocarcinoma
Bladder Cancer,patient,prior_malignancy,patient_prior_malignancy_Bladder Cancer
Other malignant neoplasm without specification of site,patient,prior_malignancy,patient_prior_malignancy_Other malignant neoplasm without specification of site
Anal carcinoma|Breast Cancer,patient,prior_malignancy,patient_prior_malignancy_Anal carcinoma|Breast Cancer
Colon Cancer,patient,prior_malignancy,patient_prior_malignancy_Colon Cancer
Multiple Sclerosis,patient,prior_malignancy,patient_prior_malignancy_Multiple Sclerosis
Brain Cancer,patient,prior_malignancy,patient_prior_malignancy_Brain Cancer
Acute Promyelocytic Leukemia,patient,prior_malignancy,patient_prior_malignancy_Acute Promyelocytic Leukemia
Basal Cell Carcinoma|Squamous cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Basal Cell Carcinoma|Squamous cell carcinoma
Mature B-Cell Neoplasm,patient,prior_malignancy,patient_prior_malignancy_Mature B-Cell Neoplasm
Rectal Cancer,patient,prior_malignancy,patient_prior_malignancy_Rectal Cancer
Uterine Sarcoma|Breast Cancer,patient,prior_malignancy,patient_prior_malignancy_Uterine Sarcoma|Breast Cancer
Cervical Cancer,patient,prior_malignancy,patient_prior_malignancy_Cervical Cancer
B lymphoblastic leukaemia/lymphoma,patient,prior_malignancy,patient_prior_malignancy_B lymphoblastic leukaemia/lymphoma
Amyloid angiopathy|Basal Cell Carcinoma|Bladder Cancer|Monoclonal Gammopathy of Undetermined Significance (MGUS),patient,prior_malignancy,patient_prior_malignancy_Amyloid angiopathy|Basal Cell Carcinoma|Bladder Cancer|Monoclonal Gammopathy of Undetermined Significance (MGUS)
Uterine Cancer,patient,prior_malignancy,patient_prior_malignancy_Uterine Cancer
T lymphoblastic leukaemia/lymphoma,patient,prior_malignancy,patient_prior_malignancy_T lymphoblastic leukaemia/lymphoma
Not specified,patient,prior_malignancy,patient_prior_malignancy_Not specified
B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged,patient,prior_malignancy,patient_prior_malignancy_B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged
Prostate Cancer|Renal cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Prostate Cancer|Renal cell carcinoma
Squamous cell carcinoma|Lung Cancer,patient,prior_malignancy,patient_prior_malignancy_Squamous cell carcinoma|Lung Cancer
Pancreatic adenocarcinoma,patient,prior_malignancy,patient_prior_malignancy_Pancreatic adenocarcinoma
Follicular lymphoma,patient,prior_malignancy,patient_prior_malignancy_Follicular lymphoma
Juvenile pilocytic astrocytoma,patient,prior_malignancy,patient_prior_malignancy_Juvenile pilocytic astrocytoma
Fallopian Tube Cancer,patient,prior_malignancy,patient_prior_malignancy_Fallopian Tube Cancer
Thyroid Cancer,patient,prior_malignancy,patient_prior_malignancy_Thyroid Cancer
Acute Myeloid Leukemia,patient,prior_malignancy,patient_prior_malignancy_Acute Myeloid Leukemia
Leiomyosarcoma,patient,prior_malignancy,patient_prior_malignancy_Leiomyosarcoma
Dupuytren's|Skin cancer,patient,prior_malignancy,patient_prior_malignancy_Dupuytren's|Skin cancer
Mediastinum mass,patient,prior_malignancy,patient_prior_malignancy_Mediastinum mass
Cervical Cancer|Pituitary Tumor,patient,prior_malignancy,patient_prior_malignancy_Cervical Cancer|Pituitary Tumor
Pyoderma Gangrenosum,patient,prior_malignancy,patient_prior_malignancy_Pyoderma Gangrenosum
Pituitary macroadenoma,patient,prior_malignancy,patient_prior_malignancy_Pituitary macroadenoma
Anaplastic Astrocytoma,patient,prior_malignancy,patient_prior_malignancy_Anaplastic Astrocytoma
Bladder Cancer|Ovarian cancer,patient,prior_malignancy,patient_prior_malignancy_Bladder Cancer|Ovarian cancer
